Cincinnati Passing,,,,,,,,
,C/ATT,YDS,AVG,TD,INT,SACKS,QBR,RTG
Andy Dalton,29/41,337,8.2,3,1,3-29,70.1,109.5
TEAM,29/41,308,8.2,3,1,3-29,--,109.5
Atlanta Passing,,,,,,,,
,C/ATT,YDS,AVG,TD,INT,SACKS,QBR,RTG
Matt Ryan,29/39,419,10.7,3,0,3-16,78.5,134.5
TEAM,29/39,403,10.7,3,0,3-16,--,134.5
Cincinnati Rushing,,,,,,,,
,CAR,YDS,AVG,TD,LONG,,,
Giovani Bernard,15,69,4.6,2,14,,,
Andy Dalton,2,13,6.5,0,11,,,
Mark Walton,5,9,1.8,0,4,,,
Alex Erickson,1,8,8.0,0,8,,,
TEAM,23,99,4.3,2,14,,,
Atlanta Rushing,,,,,,,,
,CAR,YDS,AVG,TD,LONG,,,
Tevin Coleman,14,51,3.6,0,9,,,
Ito Smith,7,35,5.0,1,13,,,
Matt Ryan,2,5,2.5,0,4,,,
Calvin Ridley,1,1,1.0,0,1,,,
TEAM,24,92,3.8,1,13,,,
Cincinnati Receiving,,,,,,,,
,REC,YDS,AVG,TD,LONG,TGTS,,
Tyler Boyd,11,100,9.1,0,13,15,,
A.J. Green,4,78,19.5,1,38,8,,
John Ross,2,52,26.0,1,39,2,,
Tyler Eifert,4,38,9.5,1,15,4,,
Mark Walton,2,28,14.0,0,24,4,,
Giovani Bernard,4,27,6.8,0,17,4,,
Alex Erickson,1,8,8.0,0,8,2,,
C.J. Uzomah,1,6,6.0,0,6,1,,
TEAM,29,337,11.6,3,39,40,,
Atlanta Receiving,,,,,,,,
,REC,YDS,AVG,TD,LONG,TGTS,,
Julio Jones,9,173,19.2,0,49,12,,
Mohamed Sanu,6,111,18.5,0,36,9,,
Calvin Ridley,4,54,13.5,2,30,6,,
Tevin Coleman,3,26,8.7,0,15,3,,
Austin Hooper,1,19,19.0,0,19,2,,
Logan Paulsen,1,17,17.0,1,17,1,,
Ito Smith,3,13,4.3,0,5,3,,
Justin Hardy,1,4,4.0,0,4,1,,
Marvin Hall,1,2,2.0,0,2,1,,
TEAM,29,419,14.4,3,49,38,,
